,as_is_hash_1000,floor_hash_1000,length_hash_1000,sum_hash_1000,poly_hash_1000,murmur_hash_1000
663,104,3,0,40,104,89
664,94,10,0,42,101,90
665,79,5,0,43,100,91
666,89,3,0,23,106,100
667,97,4,0,24,99,82
668,102,4,0,30,116,87
669,90,3,0,40,109,136
670,119,3,0,42,111,100
671,101,2,0,32,93,101
672,105,14,0,25,99,101
673,100,5,0,28,87,98
674,117,1,0,41,78,113
675,78,2,0,29,100,100
676,87,3,0,25,122,103
677,97,0,0,36,84,99
678,89,0,0,31,103,99
679,102,2,0,30,120,88
680,89,7,0,27,97,119
681,103,2,0,26,113,110
682,114,1,0,30,94,90
683,105,2,0,25,107,83
684,95,1,0,26,80,76
685,87,0,0,27,102,101
686,94,1,0,39,106,102
687,95,2,0,29,103,92
688,115,8,0,24,99,94
689,89,0,0,33,99,101
690,105,2,0,22,97,102
691,115,3,0,43,86,100
692,106,3,0,33,103,121
693,104,5,0,33,83,90
694,85,4,0,43,84,108
695,98,2,0,35,98,84
696,92,5,0,38,98,105
697,99,4,0,32,105,98
698,102,4,0,28,96,108
699,102,3,0,35,97,121
700,87,2,0,38,119,96
701,92,2,0,29,87,97
702,111,2,0,36,100,94
703,108,2,0,31,85,109
704,98,2,0,29,111,90
705,83,2,0,44,95,106
706,93,0,0,35,97,97
707,124,1,0,33,107,113
708,103,0,0,38,119,102
709,92,1,0,29,93,103
710,104,1,0,37,105,95
711,101,4,0,23,94,103
712,75,7,0,35,107,122
713,101,1,0,28,98,93
714,98,2,0,37,106,106
715,102,2,0,33,82,109
716,92,4,0,27,105,120
717,107,2,0,31,100,90
718,112,3,0,19,102,95
719,107,1,0,26,110,82
720,94,5,0,33,91,106
721,119,5,0,32,86,92
722,109,3,0,29,85,105
723,111,2,0,30,113,97
724,100,0,0,29,114,92
725,100,1,0,26,91,82
726,103,0,0,25,94,110
727,106,1,0,35,113,111
728,101,9,0,30,116,101
729,111,1,0,19,97,112
730,98,2,0,30,109,97
731,110,0,0,30,113,104
732,96,1,0,40,103,117
733,104,1,0,34,87,84
734,102,5,0,37,109,85
735,94,3,0,28,96,88
736,118,14,0,39,113,102
737,110,0,0,27,111,85
738,78,1,0,27,114,95
739,98,2,0,30,94,115
740,90,1,0,38,99,97
741,108,1,0,31,99,107
742,100,3,0,33,102,85
743,101,1,0,25,103,106
744,88,5,0,26,100,94
745,114,4,0,33,107,82
746,100,2,0,30,115,94
747,108,1,0,32,96,100
748,107,4,0,38,91,115
749,105,1,0,42,109,121
750,90,2,0,24,109,82
751,100,3,0,34,103,92
752,98,8,0,30,110,105
753,110,1,0,22,106,106
754,89,2,0,33,97,104
755,100,3,0,29,104,99
756,86,1,0,27,113,91
757,102,3,0,35,94,98
758,97,2,0,24,102,105
759,100,6,0,18,106,103
760,95,7,0,31,105,95
761,74,3,0,37,115,115
762,86,0,0,30,104,112
763,89,2,0,27,111,109
764,114,1,0,29,118,90
765,114,0,0,36,103,95
766,101,4,0,35,97,83
767,99,0,0,38,89,91
768,106,6,0,39,106,94
769,103,1,0,29,102,107
770,85,0,0,27,78,100
771,91,2,0,27,106,95
772,98,1,0,25,65,97
773,100,3,0,34,107,115
774,102,1,0,21,97,95
775,90,1,0,25,84,113
776,95,5,0,28,94,76
777,97,4,0,36,107,103
778,106,5,0,32,92,84
779,101,1,0,38,98,101
780,110,2,0,35,113,77
781,88,2,0,28,111,96
782,93,1,0,31,120,99
783,87,4,0,39,101,90
784,101,4,0,28,102,80
785,100,1,0,22,94,99
786,89,5,0,31,93,89
787,95,1,0,37,111,115
788,85,0,0,24,107,92
789,98,6,0,29,89,111
790,86,0,0,34,109,102
791,94,4,0,25,95,115
792,96,7,0,22,88,100
793,105,4,0,36,102,89
794,99,4,0,22,86,104
795,113,1,0,41,122,90
796,83,1,0,32,119,92
797,96,3,0,35,97,119
798,92,1,0,21,112,106
799,85,5,0,26,106,97
800,94,8,0,34,97,104
801,111,1,0,30,126,108
802,93,3,0,29,105,102
803,93,3,0,30,108,104
804,103,1,0,32,99,113
805,107,0,0,30,85,113
806,97,5,0,25,81,113
807,113,3,0,33,101,107
808,89,23572,0,29,83,95
809,92,0,0,22,104,88
810,92,1,0,33,83,95
811,115,4,0,25,81,95
812,92,2,0,30,98,100
813,112,2,0,34,84,92
814,113,1,0,23,95,93
815,108,2,0,26,115,91
816,77,5,0,28,109,97
817,117,2,0,32,88,85
818,90,4,0,31,87,114
819,98,2,0,26,104,83
820,109,1,0,33,91,89
821,105,1,0,29,90,96
822,102,3,0,29,88,112
823,95,3,0,34,116,143
824,88,4,0,35,93,92
825,123,0,0,35,87,112
826,103,2,0,27,114,101
827,85,2,0,32,95,99
828,100,2,0,28,108,94
829,110,3,0,35,108,108
830,102,2,0,25,94,106
831,103,1,0,32,95,128
832,104,4,0,33,99,118
833,106,2,0,29,110,95
834,103,3,0,37,102,100
835,102,0,0,27,95,94
836,94,3,0,33,95,116
837,95,2,0,35,88,101
838,106,1,0,20,94,109
839,102,3,0,31,118,89
840,98,6,0,21,87,115
841,102,2,0,33,94,104
842,105,2,0,40,97,90
843,94,2,0,35,99,91
844,104,2,0,22,83,117
845,96,3,0,30,88,102
846,96,1,0,25,98,85
847,96,0,0,34,100,107
848,92,2,0,22,90,91
849,78,3,0,24,88,101
850,103,7,0,26,92,93
851,95,1,0,30,108,92
852,104,2,0,28,95,102
853,109,3,0,26,110,106
854,96,2,0,35,121,123
855,111,5,0,30,84,99
856,103,7,0,31,101,110
857,89,2,0,34,89,106
858,90,1,0,35,97,95
